Yrkesområde;SSYK;Prognosyrke;Flagga på kort sikt ;Flagga på lång sikt
Bygg och anläggning;5227;Apotekstekniker;Ja;Nej
Försäljning, inköp och marknadsföring;3511;Drifttekniker, IT;Ja;Nej
Tekniskt och naturvetenskapligt arbete;3214;Tandtekniker och ortopedingenjörer;Ja;Nej
Tillverkningsarbete;3343;Chefssekreterare och VD-assistenter;Ja;Nej
Tillverkningsarbete;3314;Skadereglerare och värderare;Ja;Nej
Tillverkningsarbete;3411;Behandlingsassistenter och socialpedagoger;Ja;Nej
Tillverkningsarbete;9411;Pizzabagare;Ja;Nej 
Hotell, restaurang och storhushåll;5143;Massörer och massageterapeuter;Ja;Nej 
Tillverkningsarbete;8311;Lokförare;Ja;Nej 
Transport;5413;Väktare och ordningsvakter;Ja;Nej 
Försäljning, inköp och marknadsföring;2622;Bibliotekarier och arkivarier;Ja;Nej 
Service- och säkerhetsarbete;8344;Truckförare;Ja;Nej 
Naturbruk;3313;Redovisningsekonomer;Ja;Nej 
Installation, drift och underhåll;7611;Slaktare och styckare;Ja;Nej 
Tillverkningsarbete;3324;Ordersamordnare;Ja;Nej 
Tillverkningsarbete;5312;Elevassistenter;Ja;Nej 
Tillverkningsarbete;5350;Tandsköterskor;Ja;Nej 
Försäljning, inköp och marknadsföring;3250;Tandhygienister;Ja;Nej 
Tillverkningsarbete;8212;Montörer av elektrisk och elektronisk utrustning;Ja ;Ja
Tillverkningsarbete;2141;Civilingenjörsyrken inom logistik och produktionsplanering;Ja ;Ja
Tekniskt och naturvetenskapligt arbete;7132;Lackerare och industrimålare;Ja ;Ja
Installation, drift och underhåll;3114;Ingenjörer och tekniker inom maskinteknik;Ja ;Ja
Försäljning, inköp och marknadsföring;2144;Civilingenjörsyrken inom maskinteknik;Ja ;Ja
Installation, drift och underhåll;2412;Controller;Ja ;Ja
Bygg och anläggning;3335;Fastighetsförvaltare;Ja ;Ja
Tekniskt och naturvetenskapligt arbete;5131;Hovmästare och servitörer;Ja ;Ja 
Tillverkningsarbete;7612;Bagare och konditorer;Ja ;Ja 
Tillverkningsarbete;8332;Lastbilsförare;Ja ;Ja 
Installation, drift och underhåll;3331;Speditörer och transportmäklare;Ja ;Ja 
Försäljning, inköp och marknadsföring;7134;Saneringsarbetare;Ja ;Ja 
Data/it;6113;Trädgårdsanläggare;Ja ;Ja 
Tekniskt och naturvetenskapligt arbete;8193;Processövervakare inom metallproduktion;Ja ;Ja 
Administration, ekonomi och juridik;7522;Fin-, inrednings- och möbelsnickare;Ja ;Ja 
Administration, ekonomi och juridik;8181;Maskinoperatörer inom påfyllning, packning och märkning;Ja ;Ja 
Socialt arbete;7223;Maskinställare och maskinoperatörer inom metallarbete;Ja ;Ja 
Data/it;2431;Marknadsanalytiker och marknadsförare;Ja ;Ja 
Data/it;8211;Fordonsmontörer;Ja ;Ja 
Data/it;8214;Montörer av träprodukter;Ja ;Ja 
Administration, ekonomi och juridik;3115;Ingenjörer och tekniker inom kemi och kemiteknik;Ja ;Ja 
Service- och säkerhetsarbete;5152;Fastighetsskötare;Ja ;Ja 
Administration, ekonomi och juridik;3323;Inköpare och upphandlare;Ja ;Ja 
Administration, ekonomi och juridik;7420;Elektronikreparatörer och kommunikationselektriker;Ja ;Ja 
Administration, ekonomi och juridik;7116;Ställningsbyggare;Ja ;Ja 
Data/it;216;Arkitekter och lantmätare;Ja ;Ja 
Administration, ekonomi och juridik;812;Process- och maskinoperatörer, stål- och metallverk;Ja ;Ja 
Administration, ekonomi och juridik;817;Processoperatörer, trä- och pappersindustri;Ja ;Ja 
Administration, ekonomi och juridik;8192;Processövervakare inom kemisk industri;Ja ;Ja  
Administration, ekonomi och juridik;3512;Supporttekniker, IT;Ja ;Nej
Hälso- och sjukvård;3513;Systemadministratörer;Ja ;Nej
Hälso- och sjukvård;3514;Nätverks- och systemtekniker;Ja ;Nej
Hälso- och sjukvård;2423;Personal- och HR-specialister;Ja ;Nej
Hälso- och sjukvård;5144;Fotterapeuter;Ja ;Nej
Hälso- och sjukvård;2411;Revisorer;Ja ;Nej
Hälso- och sjukvård;2421;Lednings- och organisationsutvecklare;Ja ;Nej
Hälso- och sjukvård;3321;Försäkringssäljare och försäkringsrådgivare;Ja ;Nej
Hälso- och sjukvård;4224;Hotellreceptionister;Ja ;Nej 
Hälso- och sjukvård;9412;Restaurang- och köksbiträden;Ja ;Nej 
Hälso- och sjukvård;8331;Buss- och spårvagnsförare;Ja ;Nej 
Hälso- och sjukvård;5112;Tågvärdar och ombordansvariga;Ja ;Nej 
Hälso- och sjukvård;9111;Städare;Ja ;Nej 
Hälso- och sjukvård;9610;Renhållnings- och återvinningsarbetare;Ja ;Nej 
Pedagogiskt arbete;4322;Lager- och terminalpersonal;Ja ;Nej 
Pedagogiskt arbete;3423;Fritidsledare;Ja ;Nej 
Pedagogiskt arbete;5311;Barnskötare;Ja ;Nej 
Pedagogiskt arbete;2260;Tandläkare;Ja ;Nej 
Pedagogiskt arbete;2515;Systemförvaltare;Nej;Nej
Pedagogiskt arbete;4116;Skolassistenter;Nej;Nej
Pedagogiskt arbete;4117;Medicinska sekreterare och vårdadministratörer;Nej;Nej
Service- och säkerhetsarbete;3353;Socialförsäkringshandläggare;Nej;Nej
Service- och säkerhetsarbete;3352;Skattehandläggare;Nej;Nej
Service- och säkerhetsarbete;2250;Veterinärer;Nej;Nej
Service- och säkerhetsarbete;3213;Receptarier;Nej;Nej
Socialt arbete;5330;Vårdbiträden;Nej;Nej
Socialt arbete;2221;Grundutbildade sjuksköterskor;Nej;Nej
Socialt arbete;2273;Arbetsterapeuter;Nej;Nej
Socialt arbete;2272;Fysioterapeuter (sjukgymnaster);Nej;Nej
Socialt arbete;221;Läkare;Nej;Nej
Data/it;2224, 2225, 2227, 2232, 2233, 2234, 2239;Specialistsjuksköterskor inom allmän hälso- och sjukvård;Nej;Nej
Hotell, restaurang och storhushåll;2223, 2226, 2228, 2231;Specialistsjuksköterskor inom akut hälso- och sjukvård;Nej;Nej
Service- och säkerhetsarbete;2235;Röntgensjuksköterskor;Nej;Nej
Transport;5321;Undersköterskor, hemtjänst och äldreboende;Nej;Nej
Service- och säkerhetsarbete;2222;Barnmorskor;Nej;Nej
Kultur, media och design;5323;Undersköterskor, vårdavdelning och mottagning;Nej;Nej
Transport;231;Universitets- och högskollärare;Nej;Nej
Administration, ekonomi och juridik;2320;Lärare i yrkesämnen;Nej;Nej
Tillverkningsarbete;2330;Gymnasielärare;Nej;Nej
Försäljning, inköp och marknadsföring;2341;Grundskollärare;Nej;Nej
Pedagogiskt arbete;2342;Fritidspedagoger;Nej;Nej
Hälso- och sjukvård;2343;Förskollärare;Nej;Nej
Hälso- och sjukvård;2351;Speciallärare och specialpedagoger;Nej;Nej
Hotell, restaurang och storhushåll;5411;Brandmän;Nej;Nej
Hotell, restaurang och storhushåll;310;Soldater;Nej;Nej
Transport;5412;Kriminalvårdare;Nej;Nej
Transport;3360;Poliser;Nej;Nej
Service- och säkerhetsarbete;5343;Personliga assistenter;Nej;Nej
Service- och säkerhetsarbete;5342;Vårdare och boendestödjare;Nej;Nej
Transport;2662;Kuratorer;Nej;Nej
Socialt arbete;2661;Socialsekreterare;Nej;Nej
Socialt arbete;2663;Biståndsbedömare;Nej;Nej
Hälso- och sjukvård;6111;Odlare av jordbruksväxter, frukt och bär;Nej;Nej 
Naturbruk;6130;Växtodlare och djuruppfödare med blandad drift;Nej;Nej 
Naturbruk;6121;Uppfödare och skötare av lantbrukets husdjur;Nej;Nej 
Naturbruk;2113;Kemister;Nej;Nej 
Tekniskt och naturvetenskapligt arbete;3215;Laboratorieingenjörer;Nej;Nej 
Tekniskt och naturvetenskapligt arbete;2281;Apotekare;Nej;Nej 
Hälso- och sjukvård;8191;Drifttekniker vid värme- och vattenverk;Nej;Nej 
Installation, drift och underhåll;2422;Utredare och handläggare;Nej;Nej 
Administration, ekonomi och juridik;8341;Förare av jordbruks- och skogsmaskiner;Nej;Nej 
Naturbruk;2182;Miljö- och hälsoskyddsinspektörer;Nej;Nej 
Tekniskt och naturvetenskapligt arbete;5341;Skötare;Nej;Nej 
Hälso- och sjukvård;261;Jurister;Nej;Nej 
Administration, ekonomi och juridik;2512;Mjukvaru- och systemutvecklare;Nej;Nej 
Data/it;2511;Systemanalytiker och IT-arkitekter;Nej;Nej 
Data/it;2241;Psykologer;Nej;Nej 
Hälso- och sjukvård;6210;Skogsarbetare;Nej;Nej 
Naturbruk;2352;Studie- och yrkesvägledare;Nej;Nej 
Pedagogiskt arbete;3354;Säkerhetsinspektörer;Nej;Nej 
Service- och säkerhetsarbete;811;Malmförädlingsyrken och brunnsborrare;Nej;Nej 
Tillverkningsarbete;2514;Systemtestare och testledare;Nej ;Nej
Hälso- och sjukvård;3212;Biomedicinska analytiker;Nej ;Nej 
Administration, ekonomi och juridik;4223;Telefonister;Nej ;Nej 
Administration, ekonomi och juridik;4225;Kontorsreceptionister;Nej ;Nej 
Administration, ekonomi och juridik;4111;Ekonomiassistenter;Nej ;Nej 
Administration, ekonomi och juridik;4119;Kontorsassistenter och sekreterare;Nej ;Nej 
Administration, ekonomi och juridik;2432;Informatörer, kommunikatörer och PR-specialister;Nej ;Nej 
Administration, ekonomi och juridik;2413;Finansanalytiker och investeringsrådgivare;Nej ;Nej 
Försäljning, inköp och marknadsföring;4221;Resesäljare och trafikassistenter;Nej ;Nej 
Försäljning, inköp och marknadsföring;5230;Kassapersonal;Nej ;Nej 
Försäljning, inköp och marknadsföring;4114;Marknads- och försäljningsassistenter;Nej ;Nej 
Försäljning, inköp och marknadsföring;5225;Bensinstationspersonal;Nej ;Nej 
Försäljning, inköp och marknadsföring;4115;Inköps- och orderassistenter;Nej ;Nej 
Försäljning, inköp och marknadsföring;5223;Butikssäljare, fackhandel;Nej ;Nej 
Försäljning, inköp och marknadsföring;5222;Butikssäljare, dagligvaror;Nej ;Nej 
Försäljning, inköp och marknadsföring;3312;Banktjänstemän;Nej ;Nej 
Försäljning, inköp och marknadsföring;3334;Fastighetsmäklare;Nej ;Nej 
Försäljning, inköp och marknadsföring;5242;Telefonförsäljare;Nej ;Nej 
Försäljning, inköp och marknadsföring;4222;Kundtjänstpersonal;Nej ;Nej 
Hotell, restaurang och storhushåll;9413;Kafé- och konditoribiträden;Nej ;Nej 
Installation, drift och underhåll;9622;Vaktmästare;Nej ;Nej 
Kultur, media och design;2652;Musiker, sångare och kompositörer;Nej ;Nej 
Kultur, media och design;3431;Fotografer;Nej ;Nej 
Kultur, media och design;2642;Journalister;Nej ;Nej 
Kultur, media och design;2172;Grafisk formgivare;Nej ;Nej 
Kultur, media och design;2643;Tolkar;Nej ;Nej 
Tillverkningsarbete;9320;Handpaketerare;Nej ;Nej 
Transport;4420;Brevbärare och postterminalarbetare;Nej ;Nej 
Transport;9621;Reklamutdelare och tidningsdistributörer;Nej ;Nej 
